"#","Reference","Qty","Value","Footprint","DNP"
"1","BT1","1","Lipo battery","Connector_JST:JST_ZE_SM02B-ZESS-TB_1x02-1MP_P1.50mm_Horizontal",""
"2","C1, C2, C3","3","100 nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"3","D1","1","LED","LED_THT:LED_D4.0mm",""
"4","J1","1","PWR_PAD","Connector_JST:JST_NV_B02P-NV_1x02_P5.00mm_Vertical",""
"5","J2","1","ID_PAD","Screw_connector:40mm_rectangle_M3",""
"6","R1, R3","2","4.7kΩ","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"7","R2","1","470Ω","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"8","R4, R6","2","1.2kΩ","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"9","R5, R7, R8","3","100Ω","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"10","SW1","1","SW_SPST","Button_Switch_THT:SW_PUSH-12mm",""
"11","SW2","1","SW_SPDT","Button_Switch_THT:SWITCH_THT_SPDT_11MA1QS1",""
"12","U1","1","~","XIAO ESP32 THT:XIAO_ESP32_SENSE",""
"13","U2","1","TLV493D","Package_TO_SOT_SMD:SOT-23-6",""
